Project name,Company,"Location (country, city)",Manufacturing component,Capital investment (in billion euros),Government subsidies (yes/no/uncertain),Government subsidies (in billion euros),"Government subsidies framework (European, National, Regional)",Capacity of the plant (in GWh/year),Announcement date (actual or expected),Investment date (actual or expected),Manufactury plant construction start date or expected construction start date,Operation start date or expected operation start date,"Current status (announced, investment, operational)",Operation date (actual or expected),"Current status (announced, investment decision taken, under construction, operational)"
Gigafactory Valencia,Volkswagen (PowerCo),"Spain, Sagunt (near Valencia)",Cell manufacturing,10.0,uncertain,3.0,European,40,2022-03-17,2023-01-12,2023-03-17,2026-01-01,under construction,,
Salzgitter Battery Project,Volkswagen Group,"Germany, Salzgitter","Cell manufacturing, Testing, Development, Recycling",20.0,uncertain,,,40,07-07-2022,,,2025,announced,,
Verkor Dunkirk,Verkor,"France, Dunkirk",Battery cell manufacturing,2.0,yes,0.65,European,16,2022-02-01,2023-09-14,2023,2025,investment,,
Gigafactory Berlin,Tesla,"Germany, Berlin",Battery production,,uncertain,,uncertain,250,24-11-2020,,,,operational,Q1 2023,
SVOLT Saarland,SVOLT,"Germany, Saarland (Heusweiler and Überherrn)","Cell manufacturing, assembly of modules and packs",,uncertain,,uncertain,24,November 2020,uncertain,uncertain,uncertain,under construction,,
SVOLT Brandenburg,"SVOLT Energy Technology Co., Ltd.","Germany, Lauchhammer (Brandenburg)",Cell manufacturing,,uncertain,,uncertain,16,2022-09-10,,2024-08-31,2025-01-01,announced,,
SK On Ivancsa,SK Innovation,"Hungary, Iváncsa",Battery cell manufacturing,1.0,yes,0.209,European,30,2021-01-29,2021-01-01,2021-07-01,,under construction,2024-01-01,
SK On Komarom 2,SK Innovation,"Hungary, Komárom",Cell manufacturing,2.0,yes,0.09,European,30,2020-05-19,2021-07-20,2021-03-01,2024-01-01,under construction,,
SK On Komarom 1,SK Innovation,"Hungary, Komárom and Iváncsa",Cell manufacturing,1.0,yes,0.209,European,30,2021-01-01,2021-01-01,2021-01-01,2028-01-01,,,under construction
Samsung SDI God Expansion,Samsung SDI,"Hungary, Göd",Battery cell manufacturing,0.74,uncertain,,,40,,,,,announced,,
QS-1,QuantumScape,"Germany, Salzgitter",Cell production,,uncertain,,uncertain,1,2023-05-16,,,,announced,,
ProLogium Dunkirk,ProLogium,"France, Dunkirk",Solid-state battery manufacturing,5.0,yes,1.5,European,48,2023-05-09,2023-05-09,2024-07-01,2026-12-31,announced,,
Phi4Tech Badajoz project,Phi4Tech,"Spain, Badajoz","Cell manufacturing, Cathode manufacturing",1.0,uncertain,,,10,24-03-2021,,,2023,announced,,
Gothenburg,Volvo Cars and Northvolt,"Sweden, Gothenburg",Battery cell manufacturing,30.0,uncertain,,,50,15-02-2022,01-10-2023,01-10-2023,31-12-2026,under construction,,
Northvolt Skelleftea,Northvolt,"Sweden, Skellefteå",Cell manufacturing,2.0,uncertain,,,60,,2018-01-01,2018-01-01,,operational,2023-01-01,
Arendal Battery Cell Factory,Morrow Batteries,"Norway, Arendal",Battery cell manufacturing,,uncertain,,uncertain,42,27-05-2021,,2023,,under construction,mid-2024,
Wroclaw,LG Energy Solution,"Poland, Biskupice Podgorne (Kobierzyce commune)",Battery modules manufacturing,,uncertain,,,70,07-12-2023,,,,announced,,
Scarmagno Gigafactory,Italvolt,"Italy, Scarmagno and Romano Canavese",Cell manufacturing,4.0,uncertain,,,45,2021-02-15,2024-03-01,2023-09-01,2024-09-01,announced,,
InoBat Production Facility,InoBat,"Slovakia, Voderady","Cell manufacturing, Battery module and pack assembly",0.0,yes,0.0,National,20,15-12-2022,,2024,,announced,2026,
Inobat Valladolid,InoBat,"Spain, Valladolid",Battery manufacturing plant,3.0,uncertain,,,45,19-10-2022,,,,announced,,
Giga America,FREYR Battery,"United States, Coweta County, Georgia",Battery cell production,1.0,yes,0.41,National,34,29-11-2023,,,,Announced,,
Eve Energy Debrecen,EVE Energy,"Hungary, Debrecen",Cell manufacturing,1.0,yes,0.038,National,28,2023-05-09,,,2026,announced,,
VENERGY+,Envision AESC,"Spain, Navalmoral de la Mata",Battery cell manufacturing,1.0,uncertain,,National,30,2022-07-19,,,,announced,2025,
CATL Debrecen,"Contemporary Amperex Technology Co., Limited (CATL)","Hungary, Debrecen",Cell and module manufacturing,7.0,uncertain,,,100,12-08-2022,,,,announced,,
CALB Sines,CALB (China Lithium Battery Technology),"Portugal, Sines","Cell manufacturing, Electrode manufacturing, Battery casing manufacturing, Battery assembly",1.0,uncertain,,,15,02-11-2022,,,,announced,end of 2025,
Beyonder Haugaland,Beyonder,"Norway, Haugalandet",Cell manufacturing,2.0,uncertain,,National,20,2022-04-04,,,,announced,,
Basquevolt Vitoria-Gasteiz,Basquevolt,"Spain, Vitoria-Gasteiz",Solid-state battery cell prototyping plant,0.7,uncertain,,,10,13-06-2022,,,,announced,2027,
Termoli,Automotive Cells Company (ACC),"Italy, Termoli",Battery cell manufacturing,7.0,uncertain,,,40,23-03-2022,,2024,,announced,2026,
ACC Douvrin expansion project,Automotive Cells Company (ACC),"France, Douvrin",Battery cell manufacturing,0.0,uncertain,,,8,30-05-2023,,January 2022,,operational,April 2023,
ACC Douvrin,Automotive Cells Company (ACC),"France, Douvrin",Battery cell manufacturing,0.0,uncertain,,,40,30-05-2023,,,end of 2023,announced,,
ACC Kaiserslautern,Automotive Cells Company (ACC),"Germany, Kaiserslautern",Cell manufacturing,2.0,yes,0.4368,National,24,2018-12-01,2020-09-01,2023-01-01,2025-01-01,under construction,,
