Project name,Company,Location (country),Location (area),Manufacturing component(s),Investment,Investment type,Existing Capacity (in GWh/year),Planned Future Capacity (in GWh/year),Capital investment (in million euros),Jobs,Announcement date,Investment date,Operation date,Current status,Operation start date
ACC Douvrin,Automotive Cells Company (ACC),France,Douvrin,"Cell manufacturing, module assembly",yes,Expansion,13.0,40.0,850.0,600.0,03-09-2020,,end of 2023,operational,
ACC Kaiserslautern,Automotive Cell Company (ACC),Germany,Kaiserslautern,Cell manufacturing,yes,New Build,0.0,24.0,2000.0,2000.0,2020-09-03,,2025,announced,
ACC Termoli,Automotive Cells Company (ACC),Italy,Termoli,"Cell manufacturing, module assembly",yes,Expansion,,120.0,,2000.0,2020-08-01,,2026-01-01,announced,
BasqueVolt Vitoria-Gasteiz,Basquevolt,Spain,Vitoria-Gasteiz,"Cell manufacturing, prototype development",yes,New Build,,10.0,700.0,800.0,2022-06-10,,2027,announced,
Haugaland,Beyonder,Norway,Haugalandet,"Pilot production of battery cells, supercapacitors",yes,New Build,,0.0,0.0,0.0,2019-06-13,,,announced,
Sines,CALB (China Lithium Battery Technology),Portugal,Sines,"Cell manufacturing, module assembly",yes,New Build,0.0,45.0,0.0,0.0,2017-06-08,,2025-12-31,announced,
CATL Thuringia,Contemporary Amperex Technology Co. Limited (CATL),Germany,Thuringia,"Cell manufacturing, module assembly",yes,Expansion,8.0,14.0,1800.0,2000.0,2018-07-12,,2022-12-31,operational,
Debrecen,Contemporary Amperex Technology Limited (CATL),Hungary,Debrecen,"Cell manufacturing, module assembly",yes,New Build,,100.0,7340.0,9000.0,2022-08-12,,,announced,
VENERGY+,Envision AESC,Spain,"Navalmoral de la Mata, Extremadura","Cell manufacturing, module assembly",yes,New Build,,50.0,900.0,3000.0,2022-06-07,,2025,announced,
Debrecen,Eve Energy,Hungary,Debrecen,Cell manufacturing,yes,New Build,,28.0,1000.0,1000.0,08-06-2017,,2026,announced,
Giga Arctic,FREYR Battery,Norway,Mo i Rana,"Cell production, battery manufacturing",yes,Expansion,0.0,29.0,1700.0,0.0,18-12-2023,,,announced,
Giga America,FREYR Battery,United States,"Coweta County, Georgia",Cell manufacturing,yes,New Build,,34.0,1700.0,720.0,18-12-2023,,,announced,
InoBat Production Facility,InoBat Auto,Slovakia,Voderady,"Cell manufacturing, module assembly",yes,New Build,0.0,40.0,91.0,80.0,04-01-2022,,2026-04-01,announced,
Valladolid,InoBat Auto,Spain,Valladolid,"Cell manufacturing, module assembly",yes,New Build,,,,,2022-10-19,,,announced,
Scarmagno,Italvolt,Italy,Scarmagno,"Cell manufacturing, module assembly",yes,New Build,45.0,45.0,4000.0,4000.0,2021-02-16,,,announced,
LG Energy Wroclaw,LG Energy Solution Wroclaw,Poland,Wroclaw,"Cell manufacturing, module assembly",yes,Expansion,35.0,65.0,1500.0,1800.0,2020-03-26,,,announced,
Morrow Batteries Arendal,Morrow Batteries,Norway,Arendal,Cell manufacturing,yes,New Build,0.0,43.0,470.0,2500.0,2020-12-29,,,announced,
Gothenburg,Volvo Cars and Northvolt,Sweden,Gothenburg,Cell manufacturing,yes,New Build,,50.0,30000.0,3000.0,2022-02-04,,2025,announced,
Northvolt Skellefteå,Northvolt,Sweden,Skellefteå,Cell manufacturing,yes,Expansion,40.0,60.0,2750.0,2500.0,16-10-2018,,,announced,
Phi4Tech Badajoz,Phi4tech,Spain,Badajoz,"Cell manufacturing, cathode manufacturing",yes,Expansion,0.0,10.0,400.0,500.0,24-03-2021,,,announced,
Dunkirk Gigafactory,ProLogium,France,Dunkirk,"Cell manufacturing, R&D center",yes,New Build,,48.0,5200.0,3000.0,2023-05-13,,2026-12-31,announced,
QS-1,QuantumScape Corporation,Germany,Salzgitter,Cell production,yes,New Build,1.0,21.0,,,2021-05-15,,,announced,
Göd Expansion,Samsung SDI,Hungary,Göd,Cell manufacturing,yes,Expansion,30.0,40.0,740.0,,2021-02-24,,,announced,
Iváncsa Battery Plant,SK On (SK Innovation),Hungary,Iváncsa,"Cell manufacturing, module assembly",yes,New Build,0.0,30.0,1623.0,2500.0,2021-01-29,2021-01-01,,investment made,
SK On Komarom 1,SK Innovation,Hungary,Komárom,Cell manufacturing,yes,Expansion,7.0,10.0,700.0,2500.0,28-02-2019,,,announced,
SK On Komarom 2,SK Innovation,Hungary,Komárom,Cell manufacturing,yes,Expansion,10.0,40.0,750.0,2500.0,28-02-2019,,,announced,
SVOLT Brandenburg,SVOLT,Germany,"Lauchhammer, Brandenburg",Cell manufacturing,yes,New Build,,16.0,,,2022-09-09,,2025-01-01,announced,
SVOLT Saarland and Brandenburg,SVOLT,Germany,Saarland and Brandenburg,"Cell manufacturing, module assembly",yes,Expansion,,16.0,,,08-06-2017,,,announced,
Gigafactory Berlin Battery Plant,Tesla,Germany,Grünheide,Battery cell production,yes,New Build,,100.0,5000.0,2000.0,2020-01-01,,,announced,
Verkor Dunkirk,Verkor,France,Dunkirk,Cell manufacturing,yes,New Build,16.0,50.0,2000.0,1200.0,01-02-2022,,2025-07-01,announced,
Salzgitter,Volkswagen,Germany,Salzgitter,Cell manufacturing,yes,New Build,,40.0,20340.0,20000.0,2022-07-07,,2025-01-01,announced,
Valencia,Volkswagen Group,Spain,"Sagunt, near Valencia",Cell manufacturing,yes,New Build,0.0,40.0,3000.0,3000.0,23-03-2022,,2026,announced,
Gotion High-Tech Göttingen,Gotion High-Tech,Germany,Göttingen,"Cell manufacturing, module assembly",yes,Expansion,0.0,20.0,0.0,0.0,2023-09-19,,,announced,
Bitterfeld-Wolfen Farasis project,"Farasis Energy (Ganzhou) Co., Ltd.",Germany,Bitterfeld-Wolfen,"Cell manufacturing, module assembly",yes,New Build,0.0,10.0,600.0,600.0,2019-05-09,,,announced,
Ludwigsfelde Microvast,Microvast,Germany,Ludwigsfelde,"Cell manufacturing, module assembly",yes,Expansion,1.0,6.0,50.0,250.0,2019-11-19,,,announced,
Döbeln Blackstone Resources,Blackstone Resources AG,Germany,Döbeln,Cell manufacturing,yes,Expansion,50.0,500.0,40.0,24.0,2019-01-01,,2021-09-01,operational,
Gigafactory 1,Akasol AG,Germany,Darmstadt,"Cell manufacturing, module assembly",yes,Expansion,1.0,5.0,100.0,350.0,2019-04-01,,2020-10-01,operational,
Willstatt Leclanche,Leclanché SA,Germany,Willstätt,Cell manufacturing,yes,Expansion,1.0,3.0,64.0,,2012-07-05,2020-02-18,,investment made,
Ellwangen Varta project,VARTA AG,Germany,"Ellwangen, Baden-Württemberg","Energy storage systems, battery cell production",yes,Expansion,0.0,1.0,20.0,120.0,2023-06-14,,2023-06-14,operational,
West Midlands Gigafactory,West Midlands Gigafactory joint venture (Coventry City Council and Coventry Airport Ltd),United Kingdom,Coventry,"Cell manufacturing, module assembly",yes,New Build,0.0,60.0,2500.0,6000.0,2021-07-15,,2025,announced,
Sunderland Envision AESC Gigafactory,Envision AESC,United Kingdom,Sunderland,"Cell manufacturing, module assembly",yes,Expansion,1.0,35.0,2100.0,4500.0,2021-07-01,,2024,investment made,
Thurso+,AMTE Power,United Kingdom,Thurso,Cell manufacturing,yes,Expansion,0.0,0.0,5.0,0.0,2021-06-24,,,announced,
Vigo CTAG,"Volkswagen Group and SEAT, Envision Group",Spain,"Sagunt near Valencia, Navalmoral de la Mata (Cáceres)","Cell manufacturing, module assembly",yes,Expansion,0.0,40.0,3000.0,6000.0,2021-07-14,,2026,announced,
Swiss Clean Battery,Swiss Clean Battery AG,Switzerland,Frauenfeld,"Cell manufacturing, module assembly",yes,Expansion,1.0,7.0,246.0,181.0,2022-02-01,,2024-01-01,announced,
Teverola FAAM,FAAM,Italy,Teverola,"Cell manufacturing, module assembly",yes,Expansion,0.0,8.0,417.0,0.0,2021-04-17,,2024-06-30,announced,
GigafactoryX,Impact Clean Power Technology,Poland,Pruszków,"Cell manufacturing, module assembly",yes,New Build,0.0,5.0,59.0,200.0,2022-06-29,,2024-01-01,announced,
ElevenEs,ElevenEs,Serbia,Subotica,Cell manufacturing,yes,New Build,,16.0,,2000.0,21-10-2021,,,announced,
Xanthi Sunlight,Sunlight Group Energy Storage Systems Industrial and Commercial SA,Greece,Xanthi,"Prototype Li-Ion cells, Lithium battery systems",yes,Expansion,5.0,7.0,50.0,205.0,26-01-2022,02-09-2021,,investment made,
Magna Energy Storage (M.E.S.),Magna Energy Storage (M.E.S.),Czech Republic,Horní Suchá,Cell manufacturing,yes,Expansion,0.0,100.0,52.0,1200.0,17-09-2020,,01-01-2021,operational,
